epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,445.903,2.07154,1.9741,1.73669,0.67692,0.57781,0.57479,0.37798,2.64676,2.65859,2.31659,0.000844253,0.000844253,0.000844253
64,452.939,2.078,1.94837,1.76302,0.9414,0.5822,0.56339,0.35849,2.73962,2.71647,2.36846,0.000834822,0.000834822,0.000834822
65,459.7,2.06928,1.95124,1.74376,0.92108,0.58333,0.58326,0.37004,2.65269,2.63662,2.31925,0.00082539,0.00082539,0.00082539
66,466.662,2.02881,1.91423,1.72145,0.60084,0.58172,0.58864,0.36381,2.65772,2.63593,2.29182,0.000815959,0.000815959,0.000815959
67,473.439,1.98576,1.86943,1.72365,0.6581,0.58577,0.59228,0.39652,2.66899,2.61292,2.35483,0.000806528,0.000806528,0.000806528
68,480.805,2.01687,1.87447,1.71449,0.66862,0.58577,0.59323,0.37213,2.63858,2.59036,2.34748,0.000797096,0.000797096,0.000797096
69,487.667,1.96898,1.82039,1.69149,0.58354,0.60766,0.59281,0.38551,2.68225,2.60215,2.35554,0.000787665,0.000787665,0.000787665
70,494.857,1.98044,1.83417,1.71101,0.78921,0.5882,0.59467,0.38541,2.71,2.61596,2.43984,0.000778233,0.000778233,0.000778233
71,502.039,2.02473,1.85308,1.72865,0.72422,0.58765,0.58684,0.39186,2.78362,2.62783,2.48358,0.000768802,0.000768802,0.000768802
72,508.947,1.94833,1.71062,1.66235,0.97966,0.58333,0.60962,0.40789,2.81715,2.64301,2.34886,0.000759371,0.000759371,0.000759371
73,516.133,1.94464,1.76044,1.68041,0.94633,0.58333,0.60298,0.37812,2.85,2.59246,2.38316,0.000749939,0.000749939,0.000749939
74,523.132,1.92019,1.74152,1.68345,0.5964,0.58333,0.58724,0.38197,2.80257,2.56259,2.38781,0.000740508,0.000740508,0.000740508
